delta_t,delta_P,N_d,delta_n,Ratio,Variance (%),Total Cost [$],Offline Compute [s]
150.0,305.0,7.0,2.0,5.620608899297424,2.2781935483870965,4842.266771579769,4.199752272731117
2700.0,50.0,4.0,1.0,120.0,4.623254480286739,6434.037675175476,4.146971772723853
360.0,190.0,11.0,2.0,5.741626794258373,2.117084826762246,4834.738411228741,3.075701099999027
216.0,185.0,11.0,4.0,2.9484029484029484,4.212186379928316,4227.684984585984,2.635362736363525
360.0,115.0,8.0,4.0,6.521739130434782,1.739354838709677,4169.364594586673,2.770944209089397
540.0,135.0,3.0,1.0,59.25925925925926,0.373715651135006,4240.352357044887,3.7406833454561736
1200.0,65.0,2.0,1.0,184.6153846153846,2.629237753882915,4963.714042317811,5.160955363637186
96.0,490.0,3.0,1.0,16.3265306122449,4.167741935483871,7607.310813950989,5.044326327275485
800.0,80.0,5.0,2.0,30.0,1.0977777777777775,4221.303932629136,4.00228270908569
120.0,150.0,2.0,4.0,20.0,1.6770370370370369,4375.9618184390365,3.6475975454549454
960.0,65.0,8.0,3.0,15.384615384615383,3.730465949820789,4400.544333803911,3.313470172722273
3600.0,75.0,19.0,1.0,16.842105263157894,0.5389725209080048,7093.443483685056,4.122255227274516
128.0,280.0,7.0,3.0,4.081632653061225,1.1111111111111112,4174.733032932889,4.090728990905601
2700.0,60.0,7.0,1.0,57.142857142857146,2.512605336519315,6597.761609743414,3.615478945450212
270.0,125.0,4.0,3.0,16.0,4.800955794504182,4568.940755997349,4.199448436363706
576.0,160.0,6.0,1.0,25.0,2.7823178016726406,4674.832631292413,4.17707039999765
180.0,205.0,10.0,4.0,2.926829268292683,3.7763440860215054,5134.059444684722,4.1108787636383735
2400.0,70.0,26.0,2.0,6.593406593406593,3.4542795698924733,5924.265736570617,3.607356863638746
864.0,170.0,14.0,1.0,10.084033613445378,0.9618478693747512,9787.636818124614,3.512472727271167
2400.0,105.0,23.0,1.0,9.937888198757763,1.5099641577060932,7550.462399359239,3.6742161818216448
432.0,155.0,9.0,2.0,8.602150537634408,3.446117084826762,4120.944872415873,5.197201554551032
135.0,365.0,3.0,1.0,21.91780821917808,4.651087216248507,9588.43246761099,3.5094016909080725
2880.0,40.0,24.0,4.0,6.25,4.289032258064516,6570.952375094456,2.847172854548923
384.0,140.0,13.0,4.0,3.2967032967032965,4.56415770609319,4071.773439118673,3.871989545459986
3456.0,25.0,9.0,4.0,26.666666666666668,0.3376344086021505,7091.381519351317,3.8583603545438647
216.0,235.0,7.0,2.0,7.29483282674772,0.9739545997610514,4317.859745407626,4.048120518183251
192.0,210.0,4.0,2.0,14.285714285714286,4.890322580645162,4251.054500851569,4.221006199996654
180.0,195.0,3.0,2.0,20.512820512820515,1.048888888888889,4288.540983829056,3.248641190910183
120.0,270.0,9.0,4.0,2.469135802469136,2.193548387096774,4310.197192574569,2.6242191636318406
2160.0,45.0,19.0,4.0,7.017543859649122,0.8741271737687508,5309.107258660995,3.4846142181803854
192.0,240.0,11.0,3.0,3.0303030303030303,1.411589008363202,4326.221171779061,2.575397445455151
2880.0,90.0,20.0,1.0,13.333333333333334,3.745121465551573,6203.5026047139145,3.054342218178632
576.0,80.0,5.0,3.0,20.0,4.166666666666666,4208.931541958841,3.061810254542665
2400.0,45.0,14.0,3.0,12.698412698412698,1.233930704898447,5591.497326079153,2.815451172728155
180.0,400.0,7.0,1.0,8.571428571428571,3.502986857825568,5190.579448379914,3.266811063634867
2160.0,60.0,25.0,3.0,5.333333333333333,2.031063321385902,5764.660225739294,2.5876214636386563
80.0,315.0,6.0,4.0,3.1746031746031744,1.2025806451612904,4896.384013334533,2.71735609091014
45.0,375.0,3.0,4.0,5.333333333333333,1.3925925925925926,4180.708799890342,2.7434047090924154
60.0,415.0,5.0,3.0,3.855421686746988,0.6929510155316607,4934.486894296917,3.90452512727246
48.0,435.0,5.0,4.0,2.7586206896551726,1.0465949820788532,4568.3426678662345,2.679490063635802
60.0,400.0,7.0,4.0,2.142857142857143,4.533333333333333,4548.478361833607,2.673840045451388
96.0,325.0,6.0,3.0,4.102564102564102,3.870967741935484,4124.704861843959,3.894256981813338
120.0,290.0,4.0,2.0,10.344827586206897,0.4444444444444444,4486.539800408525,5.0794204727280885
45.0,420.0,3.0,3.0,6.349206349206349,0.6795698924731183,4825.973587741945,5.768551018182982
64.0,385.0,4.0,3.0,5.194805194805195,3.827956989247312,9853.917905398754,4.267868963636416
108.0,315.0,7.0,3.0,3.6281179138322,2.5185185185185186,4694.109827823674,3.729029063639411
90.0,285.0,2.0,2.0,21.05263157894737,0.2660294703305456,4233.103741710444,3.8101905999990944
96.0,290.0,5.0,3.0,5.517241379310345,4.838709677419355,4349.456917322446,4.213635127273102
54.0,435.0,6.0,4.0,2.2988505747126435,3.655913978494624,4521.367075206253,4.531676545458719
